OBJECTID,ID,VARIATION_NUMBER_CREATED_BY,VARIATION_YEAR,GAZETTAL_NUMBER,GAZETTAL_DATE,DESCRIPTION,LAND_USE_ZONE_CODE_ID,LAND_USE_POLICY_DESC,CURRENT_LIFECYCLE_STAGE,DEGAZETTAL_NUMBER,DIVISION_SHORT,DIVISION_CODE,DIVISION_NAME,DISTRICT_SHORT,DISTRICT_CODE,DISTRICT_NAME,Shape__Area,Shape__Length
2491,3005,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,GUNG,710,GUNGAHLIN,GUNG,7,GUNGAHLIN,137161.390625,3802.12760743113
2492,3006,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,BRUC,555,BRUCE,BELC,5,BELCONNEN,4380.85961914063,712.247062931119
2493,3007,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,BRUC,555,BRUCE,BELC,5,BELCONNEN,1749.87939453125,820.779473264684
2494,3008,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,BRUC,555,BRUCE,BELC,5,BELCONNEN,169.93701171875,71.2770045830822
2495,3009,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,CHAP,444,CHAPMAN,WEST,4,WESTON CREEK,2835.56030273438,454.932957642215
2496,3010,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,CHIS,609,CHISHOLM,TUGG,6,TUGGERANONG,1536.16528320313,187.042874964617
2497,3011,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,FARR,334,FARRER,WODE,3,WODEN VALLEY,687.42431640625,127.407432836663
2498,3012,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,FISH,443,FISHER,WEST,4,WESTON CREEK,2050.31005859375,214.191694381734
2499,2711,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,KAMB,601,KAMBAH,TUGG,6,TUGGERANONG,13179.6840820313,1265.38282821057
2500,2712,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,KAMB,601,KAMBAH,TUGG,6,TUGGERANONG,571.700439453125,121.808940397571
2501,2713,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,KAMB,601,KAMBAH,TUGG,6,TUGGERANONG,33400.3544921875,1402.2177205652
2502,2714,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,KAMB,601,KAMBAH,TUGG,6,TUGGERANONG,1820.42236328125,299.452035468133
2503,2715,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,KAMB,601,KAMBAH,TUGG,6,TUGGERANONG,3457.25244140625,404.301527061942
2504,2716,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,KAMB,601,KAMBAH,TUGG,6,TUGGERANONG,13916.2321777344,1701.42513414163
2505,2717,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,THEO,610,THEODORE,TUGG,6,TUGGERANONG,3414.79296875,693.538589067315
2506,2718,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,THEO,610,THEODORE,TUGG,6,TUGGERANONG,2595.470703125,369.320574774534
2507,2719,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,THEO,610,THEODORE,TUGG,6,TUGGERANONG,1969.78393554688,250.063779101198
2508,2720,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,THEO,610,THEODORE,TUGG,6,TUGGERANONG,1509.86083984375,189.882276500379
2509,2706,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,KAMB,601,KAMBAH,TUGG,6,TUGGERANONG,9708.17846679688,1179.7316174568
2510,2707,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,KAMB,601,KAMBAH,TUGG,6,TUGGERANONG,18223.7570800781,1380.21614011745
2511,2708,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,KAMB,601,KAMBAH,TUGG,6,TUGGERANONG,10902.0212402344,1315.3577236133
2512,2709,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,THEO,610,THEODORE,TUGG,6,TUGGERANONG,11435.6486816406,1186.1584861831
2513,2710,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,WEST,441,WESTON,WEST,4,WESTON CREEK,9206.43603515625,835.578405086364
2514,2723,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,THEO,610,THEODORE,TUGG,6,TUGGERANONG,1422.17309570313,161.442298229773
2515,2724,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,THEO,610,THEODORE,TUGG,6,TUGGERANONG,2565.66674804688,217.07386823986
2516,2833,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,DUNL,578,DUNLOP,BELC,5,BELCONNEN,906.62646484375,314.670625554039
2517,2834,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,GUNG,710,GUNGAHLIN,GUNG,7,GUNGAHLIN,8802.00073242188,572.798936788112
2518,3013,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,HUGH,327,HUGHES,WODE,3,WODEN VALLEY,120353.736572266,3649.5633401415
2519,3017,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,BANK,614,BANKS,TUGG,6,TUGGERANONG,148073.980224609,8150.04636119287
2520,2721,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,THEO,610,THEODORE,TUGG,6,TUGGERANONG,6707.25561523438,623.812830303958
2521,2722,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,THEO,610,THEODORE,TUGG,6,TUGGERANONG,1251.65112304688,157.258602952092
2522,2725,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,THEO,610,THEODORE,TUGG,6,TUGGERANONG,6894.33422851563,404.950257330584
2523,2726,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,THEO,610,THEODORE,TUGG,6,TUGGERANONG,2740.82543945313,219.250247483956
2524,2727,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,THEO,610,THEODORE,TUGG,6,TUGGERANONG,18607.345703125,1213.27990964638
2525,2728,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,THEO,610,THEODORE,TUGG,6,TUGGERANONG,65487.4682617188,2551.93134321102
2526,2731,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,THEO,610,THEODORE,TUGG,6,TUGGERANONG,5474.3525390625,299.723121704684
2527,6560,TA2010-15,10,NI2010-258,2010/05/27 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,PHIL,338,PHILLIP,WODE,3,WODEN VALLEY,2342.46362304688,225.366621604495
2528,2846,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,CHAR,570,CHARNWOOD,BELC,5,BELCONNEN,10067.5830078125,870.87054005052
2529,2847,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,CHAR,570,CHARNWOOD,BELC,5,BELCONNEN,1730.87963867188,171.513614729345
2530,2848,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,CHAR,570,CHARNWOOD,BELC,5,BELCONNEN,3971.21044921875,406.116151375815
2531,2849,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,CHAR,570,CHARNWOOD,BELC,5,BELCONNEN,2676.9736328125,280.398822036212
2532,2850,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,COOK,557,COOK,BELC,5,BELCONNEN,1270.16455078125,225.71868958801
2533,6645,TA2020-29,10,NI2010-540,2010/09/23 00:00:00+00,,TSZ1,TRANSPORT,GAZETTED,,BONN,719,BONNER,GUNG,7,GUNGAHLIN,7515.11328125,561.017239976303
2534,6648,TA2010-30,10,NI2010-566,2010/10/07 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,CASE,705,CASEY,GUNG,7,GUNGAHLIN,37147.4641113281,843.021785947861
2535,6659,299,10,NI2010-575,2010/11/05 00:00:00+00,,RZ4,MEDIUM DENSITY RESIDENTIAL,GAZETTED,,LAWS,580,LAWSON,BELC,5,BELCONNEN,40436.9108886719,1097.34873835982
2536,2705,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,KAMB,601,KAMBAH,TUGG,6,TUGGERANONG,266024.348876953,4222.84167555293
2537,2835,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,AMAR,707,AMAROO,GUNG,7,GUNGAHLIN,253524.845947266,2607.72121184672
2538,6503,TA2010-12,10,NI2010-125,2010/03/19 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,BRUC,555,BRUCE,BELC,5,BELCONNEN,34699.6486816406,828.877548747455
2539,6504,TA2010-12,10,NI2010-125,2010/03/19 00:00:00+00,,CZ5,MIXED USE,GAZETTED,,BRUC,555,BRUCE,BELC,5,BELCONNEN,105677.434570313,1999.04050457401
2540,6505,TA2010-09,10,NI2010-125,2010/03/19 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,BRUC,555,BRUCE,BELC,5,BELCONNEN,4982.74340820313,354.32318213529
2541,2729,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,KAMB,601,KAMBAH,TUGG,6,TUGGERANONG,65488.236328125,4992.66491963311
2542,2732,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,KAMB,601,KAMBAH,TUGG,6,TUGGERANONG,202129.556396484,4127.85605902053
2543,2853,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,BRUC,555,BRUCE,BELC,5,BELCONNEN,2324.29272460938,292.252767141047
2544,2854,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,EVAT,574,EVATT,BELC,5,BELCONNEN,6519.36474609375,363.781108066188
2545,2855,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,HAWK,563,HAWKER,BELC,5,BELCONNEN,3594.796875,317.372672496456
2546,2856,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,KALE,553,KALEEN,BELC,5,BELCONNEN,633.15966796875,116.565700664726
2547,2857,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,BRUC,555,BRUCE,BELC,5,BELCONNEN,2684.275390625,237.087015030614
2548,2858,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,BRUC,555,BRUCE,BELC,5,BELCONNEN,2362.677734375,301.28556627057
2549,2859,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,BRUC,555,BRUCE,BELC,5,BELCONNEN,1689.43676757813,479.17989367673
2550,2860,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,KALE,553,KALEEN,BELC,5,BELCONNEN,17393.26171875,669.763510311016
2551,2861,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,LATH,566,LATHAM,BELC,5,BELCONNEN,36703.8576660156,818.48178129614
2552,2862,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,MCKE,575,MCKELLAR,BELC,5,BELCONNEN,12402.4609375,544.704995597002
2553,2844,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,BELC,559,BELCONNEN,BELC,5,BELCONNEN,8073.32739257813,466.088909704645
2554,2845,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,BRUC,555,BRUCE,BELC,5,BELCONNEN,30336.8347167969,778.996182028214
2555,6597,TA2010-20,10,NI2010-382,2010/07/15 00:00:00+00,,RZ4,MEDIUM DENSITY RESIDENTIAL,GAZETTED,,CASE,705,CASEY,GUNG,7,GUNGAHLIN,2513.03173828125,230.075779713135
